content,title,address,roadaddress,latitude,longitude,score
음식점,복자씨연탄구이,제주특별자치도 서귀포시 성산읍 오조리 367-1,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.469234,126.91987,16317
관광지,제주올레 14-1코스,제주특별자치도 서귀포시 안덕면 서광리 산 50-22,제주특별자치도 서귀포시 안덕면 서광리 산 50-22,33.304893,126.28878,16316
음식점,우무(umu),제주특별자치도 제주시 한림읍 옹포리 324-3,제주특별자치도 제주시 한림읍 한림로 542-1,33.4059055,126.2565392,16258
관광지,제주국제평화센터,제주특별자치도 서귀포시 중문 관광로 227-24,제주특별자치도 서귀포시 중문 관광로 227-24,33.2444,126.4219,16206
관광지,제주다이브 체험다이빙,제주특별자치도 서귀포시 강정동 349-1,제주특별자치도 서귀포시 월드컵로 84,33.242176,126.50496,16189
음식점,카페마니,제주특별자치도 제주시 구좌읍 평대리 2033-1,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,33.53737,126.83743,16152
관광지,제주항일기념관,제주특별자치도 제주시 조천읍 조천리 1156,제주특별자치도 제주시 조천읍 신북로 303,33.5415236,126.6425739,16133
관광지,제주올레 3코스,제주특별자치도 서귀포시 표선면 하천리 87-1,제주특별자치도 서귀포시 표선면 하천리 87-1,33.33356,126.84455,15965
쇼핑,산호상점,제주특별자치도 제주시 구좌읍 김녕리 2464,제주특별자치도 제주시 구좌읍 김녕로2길 20,33.553776,126.74344,15878
관광지,대정향교,제주특별자치도 서귀포시 안덕면 사계리 3126-1,제주특별자치도 서귀포시 안덕면 향교로 165-17,33.23958,126.2884,15841
관광지,성산포항,서귀포시 성산읍 성산리 347-9,서귀포시 성산읍 성산등용로 130-21,33.47211,126.9332,15792
관광지,차귀도요트,제주특별자치도 제주시 한경면 한경해안로 156 2층,제주특별자치도 제주시 한경면 한경해안로 156 2층,33.32392,126.16601,15778
쇼핑,한림매일시장,제주특별자치도 제주시 한림읍 한림리 1314-2,제주특별자치도 제주시 한림읍 한림로 687,33.416092,126.26494,15774
